session_id,block_id,llm_distress,annotator_1_distress,annotator_2_distress
1207,0,0,0,0
1207,1,0,0,0
1207,2,0,0,0
1207,3,2,3,3
1207,4,2,3,3
1207,5,0,0,0
1207,6,0,0,0
1207,7,2,2,1
1207,8,2,2,1
1207,9,0,0,0
1207,10,0,2,1
1207,11,2,1,2
1207,12,2,2,2
1207,13,1,1,1
1207,14,2,2,2
1207,15,1,2,1
1207,16,1,2,2
1207,17,1,0,2
1207,18,1,1,1
1207,19,1,1,1
1207,20,1,1,1
1207,21,1,2,2
1207,22,1,1,1
1207,23,1,1,1
1207,24,1,1,1
1207,25,0,1,1
1207,26,0,1,1
1207,27,0,1,1
1207,28,1,1,1
1207,29,0,1,1
1207,30,0,1,1
1207,31,0,1,1
1207,32,0,1,1
1207,33,0,1,1
1207,34,0,1,1
1207,35,0,1,1
1207,36,0,1,1
1207,37,0,0,0
1207,38,1,1,1
1207,39,0,1,1
1207,40,0,1,1
1207,41,0,0,1
1207,42,0,0,1
1900,0,0,0,0
1900,1,0,0,0
1900,2,0,0,0
1900,3,0,0,0
1900,4,2,2,2
1900,5,2,2,2
1900,6,2,3,2
1900,7,2,3,2
1900,8,2,0,1
1900,9,2,2,2
1900,10,2,2,2
1900,11,2,2,2
1900,12,2,2,2
1900,13,2,3,2
1900,14,2,3,2
1900,15,2,3,2
1900,16,2,3,2
1900,17,2,3,2
1900,18,2,3,2
1900,19,2,3,2
1900,20,2,3,2
1900,21,2,3,2
1900,22,2,3,2
1900,23,2,3,2
1900,24,2,2,1
1900,25,2,2,1
1900,26,2,2,1
1900,27,2,2,1
1900,28,2,2,1
1900,29,2,3,2
1900,30,2,3,2
1900,31,2,0,1
1900,32,2,2,2
1900,33,2,2,2
1900,34,2,2,2
1900,35,2,2,2
1900,36,2,2,2
1900,37,2,2,2
1900,38,2,2,2
1900,39,2,2,2
1900,40,2,2,2
1900,41,2,2,2
1900,42,2,2,2
1900,43,2,2,2
1900,44,2,2,2
1900,45,2,2,2
1900,46,2,2,2
1900,47,2,2,2
1900,48,2,2,2
1900,49,2,2,2
1900,50,2,3,2
1900,51,2,3,2
1900,52,0,3,2
1900,53,0,0,0
1900,54,0,0,0
3237,0,0,0,0
3237,1,0,0,0
3237,2,2,3,2
3237,3,2,3,2
3237,4,2,3,3
3237,5,2,3,3
3237,6,2,0,3
3237,7,2,1,2
3237,8,2,1,2
3237,9,2,1,2
3237,10,2,1,2
3237,11,2,1,2
3237,12,2,2,2
3237,13,2,2,2
3237,14,2,2,2
3237,15,2,2,2
3237,16,2,1,1
3237,17,2,1,2
3237,18,2,1,2
3237,19,2,1,2
3237,20,2,2,2
3237,21,2,0,1
3237,22,2,1,1
3237,23,2,1,1
3237,24,2,0,0
3237,25,2,1,2
3237,26,2,0,1
3237,27,2,2,2
3237,28,2,2,2
3237,29,2,2,2
3237,30,2,2,2
3237,31,2,2,2
3237,32,2,2,2
3237,33,2,2,2
3237,34,2,3,2
3237,35,2,3,2
3237,36,2,3,2
3237,37,2,3,2
3237,38,2,3,1
3237,39,2,0,1
3237,40,2,0,0
3237,41,2,0,0
6161,0,0,0,0
6161,1,0,1,1
6161,2,1,1,2
6161,3,1,1,2
6161,4,0,1,1
6161,5,2,2,2
6161,6,2,2,2
6161,7,1,1,2
6161,8,1,1,2
6161,9,1,2,2
6161,10,1,2,2
6161,11,1,2,2
6161,12,0,0,1
6161,13,1,3,2
6161,14,2,3,2
6161,15,2,3,2
6161,16,2,1,2
6161,17,2,1,2
6161,18,1,1,1
6161,19,1,1,2
6161,20,0,1,1
6161,21,2,1,2
6161,22,1,0,1
6161,23,1,0,1
6161,24,0,0,0
6161,25,0,0,1
6161,26,0,0,1
6161,27,0,0,0
6964,0,0,0,0
6964,1,0,0,0
6964,2,0,0,0
6964,3,0,0,0
6964,4,1,1,1
6964,5,1,1,1
6964,6,1,1,1
6964,7,2,1,1
6964,8,2,1,1
6964,9,2,1,1
6964,10,2,2,1
6964,11,2,2,1
6964,12,2,2,2
6964,13,2,2,2
6964,14,2,3,1
6964,15,2,3,3
6964,16,2,3,3
6964,17,2,3,2
6964,18,2,3,3
6964,19,2,3,1
6964,20,2,3,1
6964,21,2,2,1
6964,22,2,2,1
6964,23,2,2,1
6964,24,2,2,1
6964,25,2,2,2
6964,26,2,2,2
6964,27,2,2,2
6964,28,2,2,2
6964,29,2,2,2
6964,30,2,2,1
6964,31,2,2,1
6964,32,2,2,1
6964,33,2,2,1
6964,34,2,0,1
6964,35,0,0,0
