item_id,llm_tag,annotator_1_tag,annotator_2_tag
1,Greeting,Greeting,Greeting
2,Greeting,Greeting,Greeting
3,OpenQuestion,OpenQuestion,OpenQuestion
4,Backchannel,Paraphrase,Paraphrase
5,Reflection,Paraphrase,Paraphrase
6,Reflection,Reflection,Reflection
7,Backchannel,Backchannel,Backchannel
8,Other,OpenQuestion,ClosedQuestion
9,OpenQuestion,OpenQuestion,OpenQuestion
10,Paraphrase,Paraphrase,Paraphrase
11,OpenQuestion,OpenQuestion,OpenQuestion
12,Backchannel,Backchannel,Backchannel
13,Paraphrase,Paraphrase,Paraphrase
14,Reflection,Paraphrase,Paraphrase
15,Reflection,Reflection,Reflection
16,Reflection,Reflection,Reflection
17,Backchannel,Paraphrase,Reflection
18,Reflection,Reflection,Reflection
19,Affirmation,Paraphrase,Paraphrase
20,Reflection,Reflection,Reflection
21,OpenQuestion,Reflection,Reflection
22,Other,Other,Other
23,Other,Other,Other
24,Paraphrase,Paraphrase,Paraphrase
25,Other,Backchannel,Backchannel
26,Paraphrase,Paraphrase,Paraphrase
27,Backchannel,Reflection,Backchannel
28,Reflection,Reflection,Reflection
29,Reflection,Reflection,Reflection
30,OpenQuestion,OpenQuestion,OpenQuestion
31,Backchannel,Backchannel,Backchannel
32,Reflection,Reflection,Reflection
33,OpenQuestion,OpenQuestion,OpenQuestion
34,Backchannel,Backchannel,Backchannel
35,OpenQuestion,OpenQuestion,OpenQuestion
36,Backchannel,Backchannel,Backchannel
37,Reflection,Inform,Reflection
38,Reflection,Reflection,Reflection
39,OpenQuestion,OpenQuestion,OpenQuestion
40,Paraphrase,Paraphrase,Paraphrase
41,OpenQuestion,ClosedQuestion,OpenQuestion
42,Reflection,Reflection,Reflection
43,OpenQuestion,OpenQuestion,OpenQuestion
44,Paraphrase,Paraphrase,Paraphrase
45,Reflection,Reflection,Inform
46,ClosedQuestion,ClosedQuestion,OpenQuestion
47,ClosedQuestion,ClosedQuestion,OpenQuestion
48,Backchannel,Reflection,Backchannel
49,ClosedQuestion,Reflection,ClosedQuestion
50,ClosedQuestion,ClosedQuestion,ClosedQuestion
51,ClosedQuestion,ClosedQuestion,OpenQuestion
52,Backchannel,Reflection,Other
53,Reflection,Reflection,Reflection
54,ClosedQuestion,ClosedQuestion,ClosedQuestion
55,Reflection,Reflection,Reflection
56,Reflection,Reflection,ClosedQuestion
57,OpenQuestion,OpenQuestion,OpenQuestion
58,OpenQuestion,OpenQuestion,OpenQuestion
59,Paraphrase,Paraphrase,OpenQuestion
60,Other,Suggest,ClosedQuestion
61,Paraphrase,Paraphrase,Paraphrase
62,Paraphrase,Paraphrase,Paraphrase
63,Paraphrase,Paraphrase,Paraphrase
64,Reflection,Paraphrase,Paraphrase
65,Reflection,Reflection,Inform
66,Thanking,Thanking,Thanking
67,Other,Suggest,ClosedQuestion
68,Backchannel,Backchannel,Backchannel
69,Reflection,Paraphrase,Paraphrase
70,Reflection,Reflection,OpenQuestion
71,Suggest,Suggest,Suggest
72,OpenQuestion,Suggest,Suggest
73,Suggest,Suggest,Suggest
74,Suggest,Suggest,Suggest
75,Backchannel,Other,Other
76,Suggest,Suggest,Suggest
77,Affirmation,Reflection,Affirmation
78,Suggest,Reflection,Suggest
79,Affirmation,Reflection,Affirmation
80,Affirmation,Affirmation,Affirmation
81,ClosedQuestion,OpenQuestion,OpenQuestion
82,Thanking,Thanking,Thanking
83,Greeting,Greeting,Greeting
84,ClosedQuestion,ClosedQuestion,ClosedQuestion
85,Thanking,Thanking,Other
86,OpenQuestion,OpenQuestion,OpenQuestion
87,ClosedQuestion,ClosedQuestion,ClosedQuestion
88,Thanking,Thanking,Thanking
89,OpenQuestion,OpenQuestion,OpenQuestion
90,Paraphrase,Paraphrase,Paraphrase
91,Reflection,Reflection,Reflection
92,Paraphrase,Reflection,Paraphrase
93,Backchannel,Backchannel,Reflection
94,OpenQuestion,OpenQuestion,OpenQuestion
95,Paraphrase,Paraphrase,Paraphrase
96,Reflection,Reflection,Reflection
97,Suggest,Other,Other
98,Other,Other,Other
99,ClosedQuestion,ClosedQuestion,ClosedQuestion
100,Paraphrase,Paraphrase,Paraphrase
101,OpenQuestion,OpenQuestion,OpenQuestion
102,Paraphrase,Thanking,Paraphrase
103,OpenQuestion,ClosedQuestion,OpenQuestion
104,ClosedQuestion,ClosedQuestion,ClosedQuestion
105,Paraphrase,Thanking,Paraphrase
106,ClosedQuestion,ClosedQuestion,ClosedQuestion
107,ClosedQuestion,ClosedQuestion,ClosedQuestion
108,Paraphrase,ClosedQuestion,Paraphrase
109,ClosedQuestion,ClosedQuestion,ClosedQuestion
110,ClosedQuestion,ClosedQuestion,OpenQuestion
111,Reflection,Reflection,ClosedQuestion
112,OpenQuestion,OpenQuestion,OpenQuestion
113,Other,Other,Other
114,OpenQuestion,OpenQuestion,OpenQuestion
115,ClosedQuestion,ClosedQuestion,ClosedQuestion
116,Suggest,Suggest,OpenQuestion
117,Inform,Inform,Inform
118,Inform,Inform,Inform
119,Thanking,Thanking,Thanking
120,OpenQuestion,OpenQuestion,OpenQuestion
121,Suggest,Suggest,Suggest
122,Inform,Inform,Inform
123,OpenQuestion,OpenQuestion,OpenQuestion
124,Other,Paraphrase,Paraphrase
125,ClosedQuestion,ClosedQuestion,OpenQuestion
126,Paraphrase,ClosedQuestion,OpenQuestion
127,Reflection,Reflection,Reflection
128,OpenQuestion,ClosedQuestion,OpenQuestion
129,Paraphrase,ClosedQuestion,OpenQuestion
130,Reflection,Reflection,Reflection
131,Reflection,Reflection,Reflection
132,OpenQuestion,ClosedQuestion,OpenQuestion
133,Reflection,Reflection,Reflection
134,OpenQuestion,OpenQuestion,OpenQuestion
135,Other,Other,Other
136,Thanking,Thanking,Thanking
137,Thanking,Thanking,Other
138,Other,Other,Other
139,Thanking,Thanking,Other
140,Other,Other,Other
141,Greeting,Other,Greeting
142,Greeting,Greeting,Greeting
143,Greeting,Inform,Other
144,Greeting,Thanking,Thanking
145,ClosedQuestion,ClosedQuestion,ClosedQuestion
146,OpenQuestion,OpenQuestion,OpenQuestion
147,Reflection,ClosedQuestion,OpenQuestion
148,Reflection,Reflection,Reflection
149,OpenQuestion,Paraphrase,OpenQuestion
150,OpenQuestion,OpenQuestion,OpenQuestion
151,Reflection,Paraphrase,Reflection
152,OpenQuestion,ClosedQuestion,OpenQuestion
153,ClosedQuestion,ClosedQuestion,OpenQuestion
154,Backchannel,Reflection,Backchannel
155,ClosedQuestion,ClosedQuestion,OpenQuestion
156,Paraphrase,Paraphrase,Paraphrase
157,ClosedQuestion,ClosedQuestion,OpenQuestion
158,Paraphrase,Paraphrase,Paraphrase
159,ClosedQuestion,ClosedQuestion,OpenQuestion
160,Reflection,Reflection,Reflection
161,ClosedQuestion,ClosedQuestion,OpenQuestion
162,ClosedQuestion,ClosedQuestion,OpenQuestion
163,Reflection,Reflection,Reflection
164,ClosedQuestion,ClosedQuestion,ClosedQuestion
165,ClosedQuestion,ClosedQuestion,ClosedQuestion
166,Paraphrase,ClosedQuestion,ClosedQuestion
167,ClosedQuestion,ClosedQuestion,OpenQuestion
168,ClosedQuestion,ClosedQuestion,ClosedQuestion
169,Reflection,Reflection,Reflection
170,Affirmation,Affirmation,Reflection
171,OpenQuestion,Other,Other
172,OpenQuestion,OpenQuestion,OpenQuestion
173,Reflection,Reflection,Reflection
174,ClosedQuestion,ClosedQuestion,OpenQuestion
175,Suggest,Inform,Other
176,Suggest,ClosedQuestion,OpenQuestion
177,Inform,Inform,Other
178,Inform,Inform,Inform
179,Inform,Other,Other
180,Inform,Inform,Inform
181,Inform,Inform,Inform
182,Inform,Inform,Inform
183,Inform,Inform,Inform
184,Inform,Inform,Inform
185,Reflection,Paraphrase,Other
186,Reflection,Reflection,Reflection
187,Suggest,Other,Other
188,Suggest,Suggest,Suggest
189,Backchannel,Backchannel,Backchannel
190,Inform,Inform,Inform
191,Inform,Inform,Inform
192,Reflection,Reflection,Reflection
193,ClosedQuestion,ClosedQuestion,OpenQuestion
194,Inform,Inform,Inform
195,Suggest,Other,Other
196,Suggest,ClosedQuestion,Suggest
197,Reflection,Reflection,Reflection
198,Paraphrase,ClosedQuestion,OpenQuestion
199,Paraphrase,ClosedQuestion,Paraphrase
200,Inform,Other,Backchannel
201,Inform,Inform,Inform
202,Inform,Inform,Inform
203,Inform,Inform,Inform
204,Inform,Inform,Inform
205,Inform,Inform,Inform
206,Inform,Inform,Inform
207,Inform,Inform,Inform
208,OpenQuestion,OpenQuestion,OpenQuestion
209,Other,ClosedQuestion,OpenQuestion
210,Reflection,Reflection,Reflection
211,Other,Other,Other
212,Inform,Inform,Inform
213,OpenQuestion,Other,Other
214,OpenQuestion,ClosedQuestion,OpenQuestion
215,OpenQuestion,OpenQuestion,OpenQuestion
216,Suggest,Suggest,Other
217,Affirmation,Thanking,Thanking
218,Greeting,Other,Other
219,Thanking,Thanking,Inform
220,Inform,Other,Inform
221,Thanking,Thanking,Other
222,Thanking,Thanking,Thanking
223,Other,Greeting,Greeting
224,Greeting,Greeting,Greeting
225,OpenQuestion,OpenQuestion,OpenQuestion
226,Reflection,Reflection,Reflection
227,ClosedQuestion,OpenQuestion,ClosedQuestion
228,Other,Other,Other
229,Other,ClosedQuestion,ClosedQuestion
230,OpenQuestion,OpenQuestion,OpenQuestion
231,OpenQuestion,OpenQuestion,OpenQuestion
232,Reflection,Reflection,Reflection
233,Reflection,Paraphrase,Paraphrase
234,Reflection,Reflection,Reflection
235,OpenQuestion,OpenQuestion,OpenQuestion
236,OpenQuestion,OpenQuestion,OpenQuestion
237,OpenQuestion,OpenQuestion,OpenQuestion
238,Reflection,Reflection,Backchannel
239,OpenQuestion,OpenQuestion,OpenQuestion
240,Backchannel,Other,Backchannel
241,Reflection,Paraphrase,Paraphrase
242,Reflection,Reflection,Reflection
243,ClosedQuestion,OpenQuestion,OpenQuestion
244,OpenQuestion,OpenQuestion,OpenQuestion
245,Reflection,Reflection,Reflection
246,ClosedQuestion,ClosedQuestion,OpenQuestion
247,Reflection,Reflection,Reflection
248,Other,Other,ClosedQuestion
249,Paraphrase,Paraphrase,Paraphrase
250,Paraphrase,Paraphrase,Paraphrase
251,Paraphrase,Paraphrase,Paraphrase
252,ClosedQuestion,ClosedQuestion,OpenQuestion
253,OpenQuestion,Inform,OpenQuestion
254,ClosedQuestion,ClosedQuestion,OpenQuestion
255,Reflection,Reflection,Reflection
256,OpenQuestion,OpenQuestion,OpenQuestion
257,Inform,OpenQuestion,OpenQuestion
258,Paraphrase,ClosedQuestion,Paraphrase
259,OpenQuestion,OpenQuestion,OpenQuestion
260,Inform,Suggest,Inform
261,Suggest,Suggest,Suggest
262,Suggest,Suggest,Suggest
263,Suggest,Suggest,Inform
264,Suggest,Inform,Suggest
265,OpenQuestion,ClosedQuestion,OpenQuestion
266,Other,ClosedQuestion,ClosedQuestion
267,Other,Other,Other
268,Other,Other,Suggest
269,Other,Other,Greeting
270,Greeting,Greeting,Greeting
271,Thanking,Thanking,Inform
272,OpenQuestion,OpenQuestion,OpenQuestion
273,OpenQuestion,OpenQuestion,OpenQuestion
274,Backchannel,Backchannel,Backchannel
275,Backchannel,Backchannel,Backchannel
276,OpenQuestion,OpenQuestion,OpenQuestion
